('WT21-B37-76', 0.002679410057594001)
('WT21-B37-75', 0.0015259169938491943)
('WT25-B39-116', 0.0014694935259429026)
('WT23-B21-53', 0.001372322043626136)
('WT24-B40-171', 0.0012450717566983612)
('WT23-B39-340', 0.0012404897054879844)
('WT23-B37-134', 0.001205214409144402)
('WT08-B18-400', 0.0011435408632988458)
('WT13-B06-284', 0.001124781639214877)
('WT24-B26-46', 0.0010850462843569237)
('WT13-B06-273', 0.001044701149630444)
('WT01-B18-225', 0.0009884437490061374)
('WT04-B27-720', 0.000936408657488165)
('WT23-B19-156', 0.000894231205524611)
('WT04-B30-12', 0.0008164408730753148)
('WT24-B26-10', 0.000807421967763552)
('WT25-B15-307', 0.0008043822927290953)
('WT07-B18-256', 0.0007749484283491471)
('WT24-B26-2', 0.0007713415765795647)
('WT14-B03-220', 0.0007164426193243052)
('WT24-B40-167', 0.0007075088302797662)
('WT14-B03-227', 0.0006850236231903114)
('WT18-B31-240', 0.0006601901997680993)
('WT04-B40-202', 0.0006587039954825094)
('WT08-B19-222', 0.0006434323877331645)
('WT27-B28-203', 0.0006270014372323683)
('WT13-B15-160', 0.0006212965578003623)
('WT13-B39-295', 0.0006169606348981624)
('WT12-B30-56', 0.0006022896896485939)
('WT10-B02-288', 0.000575993082918222)
('WT22-B38-403', 0.0005745722110603936)
('WT14-B36-337', 0.0005582567353083416)
('WT27-B34-57', 0.0005555001106171716)
('WT23-B20-363', 0.0005508623432931848)
('WT23-B01-40', 0.0005504218710831498)
('WT27-B32-30', 0.0005497708186874563)
('WT21-B40-37', 0.0005481800081651351)
('WT21-B35-155', 0.0005400521617883294)
('WT08-B08-60', 0.000535637027043031)
('WT04-B22-268', 0.0005327681234560996)
('WT14-B02-400', 0.000532566194076039)
('WT18-B14-66', 0.0005320595142203085)
('WT23-B27-31', 0.0005256162924708054)
('WT23-B38-120', 0.0005209278386044817)
('WT06-B35-151', 0.0005201041246823874)
('WT06-B14-69', 0.0005190665894700366)
('WT06-B35-161', 0.0005182093969183256)
('WT10-B33-300', 0.0005168066558201948)
('WT14-B36-335', 0.0005154599865694158)
('WT14-B36-336', 0.0005154599865694158)
